"PSComputerName","ResourceName","InstanceName","InDesiredState","ConfigurationName","StartDate"
"NADE05BIV02","AuditPolicySubcategory","[V-26553][medium][Audit - Security State Change - Success]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-26555][medium][Audit - Security System Extension - Success]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-26557][medium][Audit - System Integrity - Success]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-26558][medium][Audit - System Integrity - Failure]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-36667][medium][WINAU-000016]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-36668][medium][WINAU-000017]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-40200][medium][WNAU-000060]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-40202][medium][WNAU-000059]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-57633][medium][WINAU-000089]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-78057][medium][WINAU-000501]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-78059][medium][WINAU-000502]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-78061][medium][WINAU-000907]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-78063][medium][WINAU-000908]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-3481][medium][Media Player - Prevent Codec Download]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-14268][medium][Attachment Mgr - Preserve Zone Info]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-14269][medium][Attachment Mgr - Hide Mech to Remove Zone Info]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-14270][medium][Attachment Mgr - Scan with Antivirus]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-15727][medium][User Network Sharing]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-16021][medium][Help Experience Improvement Program ]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-16048][medium][Help Ratings]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-36656][medium][WINUC-000001]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-36657][medium][WINUC-000003]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-36776][low][WINUC-000005]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","cAdministrativeTemplateSetting","[V-36777][low][WINUC-000006]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","Registry","[V-1075][low][Display Shutdown Button]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:22 PM"
"NADE05BIV02","Registry","[V-1090][low][Caching of logon credentials]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1093][high][Anonymous shares are not restricted]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1136][low][Forcibly Disconnect when Logon Hours Expire]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1141][medium][Unencrypted Password is Sent to SMB Server.]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1145][medium][Disable Automatic Logon]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1151][low][Secure Print Driver Installation]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1153][high][LanMan Authentication Level]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1154][medium][Ctrl+Alt+Del Security Attention Sequence]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1157][medium][Smart Card Removal Option ]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1162][medium][SMB Server Packet Signing (if client agrees)]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1163][medium][Encryption of Secure Channel Traffic]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1164][medium][Signing of Secure Channel Traffic]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1165][low][Computer Account Password Reset]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1166][medium][SMB Client Packet Signing (if server agrees)]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1171][medium][Format and Eject Removable Media]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
